                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.99208,                 2.5278,                 1.3622,                0.49441,                0.58333,                 0.5736,                0.38763,                 1.0408,                 2.5877,                 1.6607,             0.00055122,             0.00055122,             0.00055122
                      1,                 1.1677,                 2.1982,                 1.4305,                0.75774,                0.56316,                0.67921,                0.42856,                 1.1616,                 2.9823,                 1.7582,              0.0010521,              0.0010521,              0.0010521
                      2,                 1.2223,                 2.1386,                 1.4959,                0.64828,                0.63682,                 0.6251,                0.34338,                 1.2885,                 2.7633,                 1.9259,               0.001498,               0.001498,               0.001498
                      3,                 1.3444,                 2.2187,                 1.6277,                0.40628,                0.69444,                0.51627,                0.27766,                 1.2183,                 4.2174,                 1.7856,              0.0014195,              0.0014195,              0.0014195
                      4,                 1.3246,                  2.052,                  1.587,                 0.5852,                0.63811,                0.68744,                0.42333,                 1.2533,                  2.227,                 1.8032,              0.0014195,              0.0014195,              0.0014195
                      5,                  1.289,                 1.9523,                 1.5446,                0.60172,                0.73013,                0.75996,                0.47383,                 1.2666,                 1.9712,                 1.7089,              0.0013369,              0.0013369,              0.0013369
                      6,                 1.2614,                  1.729,                 1.5245,                0.70834,                 0.5629,                0.69036,                0.46149,                 1.1267,                 1.8164,                 1.6191,              0.0012544,              0.0012544,              0.0012544
                      7,                 1.2578,                 1.7087,                 1.5177,                0.80654,                0.70664,                0.82981,                0.56223,                 1.0552,                 1.4494,                 1.5385,              0.0011719,              0.0011719,              0.0011719
                      8,                 1.1997,                 1.6121,                 1.4833,                0.68467,                   0.75,                0.78487,                0.52666,                 1.0446,                 1.3929,                 1.5576,              0.0010894,              0.0010894,              0.0010894
                      9,                 1.1972,                 1.5344,                 1.4626,                0.77936,                0.75895,                0.84736,                0.61559,                 1.0262,                 1.2011,                 1.4591,              0.0010069,              0.0010069,              0.0010069
                     10,                 1.0357,                 1.4117,                 1.4595,                0.80787,                0.74969,                0.86258,                0.60914,                0.99167,                 1.4155,                 1.4843,             0.00092435,             0.00092435,             0.00092435
                     11,                0.94688,                  1.238,                  1.366,                0.84023,                0.88201,                0.89969,                0.64058,                0.94025,                 1.0811,                 1.4354,             0.00084184,             0.00084184,             0.00084184
                     12,                0.92324,                 1.1566,                 1.3435,                0.82619,                0.83494,                0.88123,                0.67301,                0.83959,                 1.0166,                  1.362,             0.00075932,             0.00075932,             0.00075932
                     13,                0.87581,                 1.0874,                 1.3029,                0.77869,                0.86128,                0.88023,                0.67245,                0.87401,                 1.0081,                 1.4354,              0.0006768,              0.0006768,              0.0006768
                     14,                0.82744,                  1.013,                 1.2619,                0.95756,                0.84669,                0.94066,                0.74112,                0.79094,                0.88738,                 1.2954,             0.00059429,             0.00059429,             0.00059429
                     15,                0.79663,                0.96042,                 1.2306,                0.90343,                0.81965,                0.90152,                0.73467,                0.71575,                 0.9365,                 1.2041,             0.00051177,             0.00051177,             0.00051177
                     16,                0.74622,                0.88295,                  1.198,                0.92647,                0.89483,                 0.9555,                0.75239,                0.73783,                0.80142,                 1.2317,             0.00042925,             0.00042925,             0.00042925
                     17,                  0.722,                0.82105,                 1.1796,                0.91435,                 0.8787,                0.96283,                0.74961,                0.75852,                0.79884,                 1.2631,             0.00034674,             0.00034674,             0.00034674
                     18,                0.67323,                0.77014,                 1.1181,                0.94923,                0.91667,                0.96041,                0.79584,                0.64526,                0.71237,                 1.1506,             0.00026422,             0.00026422,             0.00026422
                     19,                0.65248,                0.74232,                 1.1266,                0.92818,                0.89419,                0.97024,                0.80402,                0.62188,                0.67358,                 1.1115,              0.0001817,              0.0001817,              0.0001817
